start_time,end_time,available_count,slot_indices
2026-02-16T09:00:00+01:00,2026-02-16T10:00:00+01:00,2,"224,225,226,227"
2026-02-16T09:15:00+01:00,2026-02-16T10:15:00+01:00,2,"225,226,227,228"
2026-02-16T09:30:00+01:00,2026-02-16T10:30:00+01:00,2,"226,227,228,229"
2026-02-16T09:45:00+01:00,2026-02-16T10:45:00+01:00,2,"227,228,229,230"
2026-02-16T10:00:00+01:00,2026-02-16T11:00:00+01:00,2,"228,229,230,231"
2026-02-16T10:15:00+01:00,2026-02-16T11:15:00+01:00,2,"229,230,231,232"
2026-02-16T10:30:00+01:00,2026-02-16T11:30:00+01:00,2,"230,231,232,233"
2026-02-16T10:45:00+01:00,2026-02-16T11:45:00+01:00,2,"231,232,233,234"
2026-02-16T11:00:00+01:00,2026-02-16T12:00:00+01:00,2,"232,233,234,235"
2026-02-17T14:00:00+01:00,2026-02-17T15:00:00+01:00,2,"276,277,278,279"
2026-02-17T14:15:00+01:00,2026-02-17T15:15:00+01:00,2,"277,278,279,280"
2026-02-17T14:30:00+01:00,2026-02-17T15:30:00+01:00,2,"278,279,280,281"
2026-02-17T14:45:00+01:00,2026-02-17T15:45:00+01:00,2,"279,280,281,282"
2026-02-17T15:00:00+01:00,2026-02-17T16:00:00+01:00,2,"280,281,282,283"
2026-02-17T15:15:00+01:00,2026-02-17T16:15:00+01:00,2,"281,282,283,284"
2026-02-17T15:30:00+01:00,2026-02-17T16:30:00+01:00,2,"282,283,284,285"
2026-02-17T15:45:00+01:00,2026-02-17T16:45:00+01:00,2,"283,284,285,286"
2026-02-17T16:00:00+01:00,2026-02-17T17:00:00+01:00,2,"284,285,286,287"
2026-02-18T09:00:00+01:00,2026-02-18T10:00:00+01:00,4,"288,289,290,291"
2026-02-18T09:15:00+01:00,2026-02-18T10:15:00+01:00,4,"289,290,291,292"
2026-02-18T09:30:00+01:00,2026-02-18T10:30:00+01:00,5,"290,291,292,293"
2026-02-18T09:45:00+01:00,2026-02-18T10:45:00+01:00,5,"291,292,293,294"
2026-02-18T10:00:00+01:00,2026-02-18T11:00:00+01:00,5,"292,293,294,295"
2026-02-18T10:15:00+01:00,2026-02-18T11:15:00+01:00,4,"293,294,295,296"
2026-02-18T10:30:00+01:00,2026-02-18T11:30:00+01:00,4,"294,295,296,297"
2026-02-18T10:45:00+01:00,2026-02-18T11:45:00+01:00,3,"295,296,297,298"
2026-02-18T11:00:00+01:00,2026-02-18T12:00:00+01:00,3,"296,297,298,299"
2026-02-18T13:00:00+01:00,2026-02-18T14:00:00+01:00,2,"304,305,306,307"
2026-02-18T13:15:00+01:00,2026-02-18T14:15:00+01:00,2,"305,306,307,308"
2026-02-18T13:30:00+01:00,2026-02-18T14:30:00+01:00,2,"306,307,308,309"
2026-02-18T13:45:00+01:00,2026-02-18T14:45:00+01:00,2,"307,308,309,310"
2026-02-18T14:00:00+01:00,2026-02-18T15:00:00+01:00,2,"308,309,310,311"
